,founded_year,funding_rounds,funding_total_usd,months_to_first_funding,seed,angel,grant,convertible_note,debt_financing,equity_crowdfunding,category_count,target_series_b_36m
founded_year,1.0,-0.008574872115924375,-0.06113537021109997,-0.8346924295204063,0.04789225502236803,0.040167488331816735,-0.04670893262314206,-0.00806595793324345,-0.05126362760464978,0.014991661868916548,0.18024671576744627,0.15802568543823045
funding_rounds,-0.008574872115924375,1.0,0.0905478659784118,-0.08708917543818101,0.06987515003810972,0.09238069629118803,0.055981695264249225,0.05284010830701001,0.019298314649720844,0.005407138140340765,0.08403391804345596,-0.4743915689978135
funding_total_usd,-0.06113537021109997,0.0905478659784118,1.0,0.054338512443219474,0.0013797545061023711,0.002704135927344186,0.01682181724873412,0.010408140963751457,0.9444822318659513,-0.002068971969477815,-0.0012441865342535396,-0.046090299609795396
months_to_first_funding,-0.8346924295204063,-0.08708917543818101,0.054338512443219474,1.0,-0.04456202697712877,-0.056994089467265696,0.042619444742645306,0.008405996020565977,0.056160051996726315,-0.0069886104141574455,-0.18417664973800332,0.009367431422181794
seed,0.04789225502236803,0.06987515003810972,0.0013797545061023711,-0.04456202697712877,1.0,0.004633964302839434,-7.286225793182772e-05,-0.005210705342218348,-0.0023560048033794442,0.0006091403661118496,0.05865549910925123,-0.04516132117484905
angel,0.040167488331816735,0.09238069629118803,0.002704135927344186,-0.056994089467265696,0.004633964302839434,1.0,-0.003552911179492312,-0.0007218112209374367,-0.0019140258107706953,0.005660229270625388,0.06366355694669942,-0.05764058710958052
grant,-0.04670893262314206,0.055981695264249225,0.01682181724873412,0.042619444742645306,-7.286225793182772e-05,-0.003552911179492312,1.0,-0.00048118129335891974,-0.0003821935214188609,-0.0009405933537715097,-0.005466140124067968,-0.027988603814180224
convertible_note,-0.00806595793324345,0.05284010830701001,0.010408140963751457,0.008405996020565977,-0.005210705342218348,-0.0007218112209374367,-0.00048118129335891974,1.0,0.004238135313893136,0.0021759579033806984,-0.01141586362653981,-0.0321413629420945
debt_financing,-0.05126362760464978,0.019298314649720844,0.9444822318659513,0.056160051996726315,-0.0023560048033794442,-0.0019140258107706953,-0.0003821935214188609,0.004238135313893136,1.0,-0.0004206664631827059,-0.007442704431984797,-0.013034232441728086
equity_crowdfunding,0.014991661868916548,0.005407138140340765,-0.002068971969477815,-0.0069886104141574455,0.0006091403661118496,0.005660229270625388,-0.0009405933537715097,0.0021759579033806984,-0.0004206664631827059,1.0,0.00620852439057368,-0.01670062605828095
category_count,0.18024671576744627,0.08403391804345596,-0.0012441865342535396,-0.18417664973800332,0.05865549910925123,0.06366355694669942,-0.005466140124067968,-0.01141586362653981,-0.007442704431984797,0.00620852439057368,1.0,-0.06251474836270814
target_series_b_36m,0.15802568543823045,-0.4743915689978135,-0.046090299609795396,0.009367431422181794,-0.04516132117484905,-0.05764058710958052,-0.027988603814180224,-0.0321413629420945,-0.013034232441728086,-0.01670062605828095,-0.06251474836270814,1.0
