feature,importance
funding_rounds,0.1234687689508793
state_code,0.02134627046694961
founded_year,0.012977562158884126
country_code,0.011036992116434163
market,0.008975136446331078
seed,0.004608853850818662
category_count,0.0019405700424499628
angel,0.0012128562765312267
equity_crowdfunding,0.001091570648878104
months_to_first_funding,0.000727713765918736
convertible_note,0.000363856882959368
debt_financing,0.00024257125530624535
grant,-0.0008489993935718587
funding_total_usd,-0.001091570648878104
