split,spec,model,best_f1_threshold,best_f1,best_precision,best_recall
random,strict,logistic_regression,0.48,0.596732588134136,0.5140740740740741,0.7110655737704918
random,strict,random_forest,0.47,0.6468222043443281,0.5324503311258278,0.8237704918032787
random,strict,hist_gradient_boosting,0.35,0.6655082536924414,0.5776772247360482,0.7848360655737705
random,strict,mlp,0.36,0.6068003487358326,0.5280728376327769,0.7131147540983607
temporal,strict,logistic_regression,0.51,0.512273212379936,0.410958904109589,0.6798866855524079
temporal,strict,random_forest,0.47,0.5572868927589367,0.41192411924119243,0.8611898016997167
temporal,strict,hist_gradient_boosting,0.27,0.5722713864306784,0.4382530120481928,0.8243626062322946
temporal,strict,mlp,0.26,0.5163265306122449,0.40350877192982454,0.71671388101983
random,expanded,logistic_regression,0.58,0.7103718199608611,0.6797752808988764,0.7438524590163934
random,expanded,random_forest,0.5,0.727788279773157,0.6754385964912281,0.7889344262295082
random,expanded,hist_gradient_boosting,0.46,0.7768595041322314,0.7833333333333333,0.7704918032786885
random,expanded,mlp,0.34,0.7329079307201459,0.6600985221674877,0.8237704918032787
temporal,expanded,logistic_regression,0.58,0.6725,0.6017897091722595,0.7620396600566572
temporal,expanded,random_forest,0.58,0.6841339155749636,0.7035928143712575,0.6657223796033994
temporal,expanded,hist_gradient_boosting,0.36,0.6968449931412894,0.675531914893617,0.7195467422096318
temporal,expanded,mlp,0.45,0.6696696696696698,0.7124600638977636,0.6317280453257791
